SITE,X,Y,JULIAN,PERIOD,OM,P,K,CA,MG,ZN,soilNA,S,PH,TEXTURE,SAND,CLAY,SILT,LICHEN,LITTER,MOSS,ROAD,ROCK,ROOT,SOIL,STREAM,TRAMPLING,TRASH,WATER,WOOD,WRACKI,CRUSTACEAN,CANOPY,Acer rubrum,Acer saccharinum,Asimina triloba,Carpinus caroliniana,Carya carolinae-septentrionalis,Carya glabra,Carya ovata,Carya pallida,Carya sp,Carya tomentosa ,Cercis canadensis,Cornus florida,Fagus grandifolia,Fraxinus americana,Fraxinus pennsylvanica,Fraxinus sp,Hamamelis virginiana,Ilex decidua ,Liquidambar styraciflua ,Liriodendron tulipfera,Magnolia sp,Morus rubra,Nyssa sylvatica,Pinus taeda,Platanus occidentalis,Prunus americana,Prunus serotina,Quercus alba,Quercus coccinea,Quercus falcata,Quercus lyrata,Quercus marilandica,Quercus nigra,Quercus pagoda,Quercus phellos,Quercus stellata,Quercus velutina,Taxodium distichum,Ulmus alata,Ulmus americana,Ulmus rubra,Ulmus sp,ELEV,WATER 20,WATER 150,WATER 500,TRANSPORT,OWNERSHIP,GRASS,MIXFOR,DEVOP,DECID,WETE,PAST,OPENH20,EVRGRN,SHRSCR,BARREN,DEVLO,WETW,CROP,DEVMED,DEVHI,DISTURB,INTENSITY
2035,22,24,2454256.5,1,3.24,27,234,3862,1266,3.2,94,467,5.2,Clay Loam,0.38,0.28,0.34,0,73.3,0,0,0,16.7,6.7,0,0,0,0,3.3,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,225,USFWS,1959,67,268,234,933,366,955,0,569,8002,977,30,446,4422,9922,FIRE,HIGH
2041,33,16,2454262.5,1,1.86,13,85,581,198,1.9,70,268,4.9,Loam,0.48,0.14,0.38,0,100,0,0,0,0,0,0,0,0,0,0,0,0,96.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0.2,0.5,0,0,0,0,0,0,0,0,97.9,0,0,0,80,USFWS,912,162,67,750,1189,1200,1909,524,1263,8424,2618,0,1129,9462,16093,NONE,NONE
2051,25,7,2454254.5,1,2.75,21,211,2159,854,4.4,69,396,5.2,Loam,0.48,0.18,0.34,0,96.7,0,0,0,0,3.3,0,0,0,0,0,0,0,78.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.2,0,0,0,245,USFWS,1343,42,228,201,1465,1022,2335,0,400,3326,2192,210,2318,6998,9992,NONE,NONE
2052,28,7,2454238.5,1,3.44,55,382,2446,1605,7.1,150,495,4.6,Sandy Loam,0.68,0.17,0.15,0,86.7,0,0,0,0,0,0,0,0,0,13.3,0,0,92.5,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,118,0,0,0,195,USFWS,1003,30,190,0,636,488,1140,60,362,4135,607,134,1106,8953,13074,MOW,LOW
2061,32,8,2454238.5,1,4.24,50,228,3200,1109,7.5,123,611,4.8,Loam,0.47,0.25,0.28,0,93.3,0,0,0,0,0,0,0,0,0,6.7,0,0,46.25,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,116,0,0,0,265,USFWS,607,234,295,480,560,1616,2746,0,1291,5799,2232,391,2496,11146,16779,FIRE,LOW
2063,31,19,2453890.5,1,1.7,73,149,1033,572,6.8,81,245,4.5,Silt Loam,0.26,0.22,0.52,0,63.3,13.3,0,0,0,20,0,0,0,0,3.3,0,0,98,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,400,USFWS,1812,30,871,0,1621,2271,2190,85,1003,7210,3813,42,2308,7248,11868,STORM,MED
2068,30,14,2454258.5,1,2.23,25,205,1277,778,4.8,93,321,4.7,Loam,0.46,0.26,0.28,0,96.7,0,0,0,0,3.3,0,0,0,0,0,0,0,97.25,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.6,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,98,0,0,0,310,USFWS,700,0,301,108,1338,981,1652,95,120,4689,5130,42,1533,7454,16862,NONE,NONE
2082,30,7,2454634.5,1,2.89,87,279,2007,1147,6.9,148,416,4.8,Loam,0.5,0.15,0.35,0,86.7,3.3,0,0,0,0,0,0,0,0,10,0,0,88.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,116.3,0,0,0,260,USFWS,1652,0,242,67,120,283,350,30,210,4646,258,42,120,10205,14438,NONE,NONE
2087,33,16,2454262.5,1,1.59,28,84,363,215,2,73,229,4.9,Loam,0.48,0.12,0.4,0,100,0,0,0,0,0,0,0,0,0,0,0,0,93.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0.9,0,0,0,0,0,0,0,0,0.3,0,0.3,0,0,0,0,0,0,0,96.5,0,0,0,65,USFWS,342,95,42,711,618,301,849,42,830,7418,2421,0,972,8494,15494,NONE,NONE
2088,27,6,2454655.5,1,4.82,90,229,1964,633,8.7,103,694,5,Sandy Loam,0.7,0.07,0.23,0,76.7,0,0,0,3.3,20,0,0,0,0,0,0,0,86.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0.7,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,146.4,0,0,0,485,USFWS,759,30,510,0,603,446,1055,60,108,3778,524,127,1019,7933,11849,FIRE,MED
